event,value,description
RecomputeWeight,190,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,519562,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,68,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,66,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,65,"Same as Query, but only for SELECT queries."
InitialQuery,66,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,159,Count queries with all subqueries
SelectQueriesWithSubqueries,158,Count SELECT queries with all subqueries
FailedQuery,6,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,6,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,1817792702,Total time of all queries.
SelectQueryTimeMicroseconds,1817791856,Total time of SELECT queries.
OtherQueryTimeMicroseconds,846,Total time of queries that are not SELECT or INSERT.
FileOpen,1587,Number of files opened.
Seek,10672,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,77924,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,478698645953,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,2,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,119,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,1,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,371,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,465916846176,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,23188490,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,1527615270195,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,52981,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1504,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,57637,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,109431,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,11478976996,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,3320,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,14565376,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,7805596,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,4,Number of table function calls.
MarkCacheHits,53873,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,154,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,684,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,800,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,324,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
CreatedReadBufferDirectIO,54181,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1019970994,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,22,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,45314787,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,11648,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,67240,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,721783,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1435,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,252968,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,22170,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,4189,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,1313994,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,3536,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,3388,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,292944,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,19013863,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,3840475,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,60585456475,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,95398109,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,4524,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,43442,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,104,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,15381583074,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,61526332296,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,173,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,37946,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,65276,Total time spent executing query plan optimizations.
SelectedParts,742,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,742,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,742,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,3889617,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,3889617,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,31802050509,Number of rows SELECTed from all tables.
SelectedBytes,1524098951474,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,31802008806,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,31802008806,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,37,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,15529,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,2713,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,2617980,Time spent loading marks
LoadedMarksFiles,154,Number of mark files loaded.
LoadedMarksCount,807433,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3662896,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,8610,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,9185,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,78,Time spent resetting task for Common executor.
ContextLock,95096,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,925,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1064,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,12534,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,259,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,12411,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,19,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,11219,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,64096713398,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,8980665335,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,250627150,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,42408596,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,683914863,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,9228645313,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadBytes,478535733248,"Number of bytes read from disks or block devices. Doesn't include bytes read from page cache. May include excessive data due to block size, readahead, etc."
OSWriteBytes,4096,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,480723972264,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,572,"Number of bytes written to filesystem, including page cache, as well as network and other files."
AsynchronousReaderIgnoredBytes,380803647,Number of bytes ignored during asynchronous reading
ThreadPoolReaderPageCacheHit,43,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,255216,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,351,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,3836443,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,478522186321,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,1015254939,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,6792739274,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,91,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,14558,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1976,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,3416,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,307,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1432,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,175,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LogError,12,Number of log messages with level Error
LoggerElapsedNanoseconds,1356680,Cumulative time spend in logging
InterfaceHTTPSendBytes,180126,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,63547,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,541657,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,3693,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,41,Number of created server HTTP connections
HTTPServerConnectionsReused,50,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,58,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,15,Number of expired server HTTP connections.
HTTPServerConnectionsReset,7,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,1595,Total number of CPU slots acquired
ConcurrencyControlWaitMicroseconds,1166643976,Total time a query was waiting on resource requests for CPU slots.
ConcurrencyControlPreemptedMicroseconds,1150107729,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,29798,Total number of CPU preemptions
ConcurrencyControlPreemptionResumes,29150,Total number of CPU preemption resumed
ConcurrencyControlUpscales,1595,Total number of CPU upscaling events
ConcurrencyControlDownscales,1595,Total number of CPU downscaling events
MemoryWorkerRun,10672,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,1014315,Total time spent by MemoryWorker for background work
FilterTransformPassedRows,41164,Number of rows that passed the filter in the query
FilterTransformPassedBytes,2517314,Number of bytes that passed the filter in the query
AsyncLoggingConsoleTotalMessages,64,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,64,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,14,How many messages (accepted or dropped) have been sent to the async queue for the error file log
