event,value,description
Query,1654,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,890,"Same as Query, but only for SELECT queries."
InitialQuery,1654,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,3001,Count queries with all subqueries
SelectQueriesWithSubqueries,2237,Count SELECT queries with all subqueries
QueryTimeMicroseconds,51888150265,Total time of all queries.
SelectQueryTimeMicroseconds,51885710699,Total time of SELECT queries.
OtherQueryTimeMicroseconds,2439566,Total time of queries that are not SELECT or INSERT.
FileOpen,4076,Number of files opened.
Seek,88461,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,691811,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,7867283373141,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,765,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,43522,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,764,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,874425,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,7748670470486,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,384750908,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,25348755086201,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,734481,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,3169,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,1211549,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1485702,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,153560863061,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,40329,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,165670912,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,131703723,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,737206,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,110,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,8714,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,8766,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,737670,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4632141807,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,32365,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,32490784,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,237166,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,1160108,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1980928,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1171,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,902270,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,1574482,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,35833,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,31697972,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,34355,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,34307,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,8926874,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,6809647,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,64563,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,494538021990,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,55406454,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,72047,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,113117,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,1864,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,275685296634,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,1102741186536,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,4088,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,2070751,Total time spent executing JOIN plan optimizations.
