at_ms,qid
166,np_default_58
449,np_default_58
2067,np_default_58
2419,np_default_58
4317,p_default_140
4341,p_default_140
6509,p_default_140
6533,p_default_140
9580,np_default_58
9700,np_default_58
10429,p_default_140
12077,np_default_58
12212,p_default_140
12793,p_default_140
13326,np_default_58
13879,p_default_140
14980,p_default_140
19239,np_default_58
19777,np_default_58
21050,np_default_58
22306,np_default_58
23176,np_default_58
23182,np_default_58
24537,p_default_140
24715,p_default_140
24955,np_default_58
25239,np_default_58
28055,np_default_58
28279,np_default_58
29451,np_default_58
31292,np_default_58
31675,p_default_140
38587,np_default_58
38888,np_default_58
39363,np_default_58
43548,p_default_140
44192,np_default_58
44258,np_default_58
50206,p_default_140
50997,p_default_140
51748,np_default_58
54383,np_default_58
55337,np_default_58
56975,p_default_140
58377,p_default_140
60965,np_default_58
64088,p_default_140
64563,p_default_140
65496,np_default_58
66798,np_default_58
71800,np_default_58
72517,np_default_58
75421,np_default_58
77738,np_default_58
77768,p_default_140
82865,np_default_58
84037,np_default_58
84685,p_default_140
85608,np_default_58
88919,p_default_140
90145,np_default_58
92370,np_default_58
94407,p_default_140
95942,np_default_58
97050,p_default_140
97715,p_default_140
99089,np_default_58
99620,p_default_140
100190,p_default_140
102487,np_default_58
105376,p_default_140
105871,p_default_140
106356,p_default_140
109319,np_default_58
111379,np_default_58
114794,np_default_58
116246,np_default_58
116346,np_default_58
116525,p_default_140
119020,p_default_140
120687,np_default_58
121306,np_default_58
121475,p_default_140
123839,p_default_140
126098,p_default_140
126287,p_default_140
126579,p_default_140
126615,np_default_58
128513,p_default_140
130531,p_default_140
134192,np_default_58
135846,p_default_140
137512,np_default_58
138089,np_default_58
139361,np_default_58
140896,np_default_58
141131,np_default_58
143019,np_default_58
145653,np_default_58
146539,p_default_140
146920,np_default_58
147569,np_default_58
147854,np_default_58
150916,np_default_58
150956,np_default_58
152167,p_default_140
152298,np_default_58
153103,np_default_58
154385,p_default_140
155006,p_default_140
155452,np_default_58
156701,p_default_140
158764,p_default_140
158842,p_default_140
159431,np_default_58
162497,p_default_140
166852,np_default_58
170002,np_default_58
176426,p_default_140
177348,p_default_140
184230,p_default_140
184861,np_default_58
185727,p_default_140
188815,p_default_140
193024,p_default_140
195150,np_default_58
195681,p_default_140
198055,p_default_140
198226,np_default_58
198644,p_default_140
199048,np_default_58
201094,np_default_58
201699,np_default_58
205877,p_default_140
210647,p_default_140
212789,p_default_140
214381,p_default_140
214845,p_default_140
216620,np_default_58
217758,p_default_140
218439,np_default_58
222505,p_default_140
222748,np_default_58
222888,np_default_58
223336,np_default_58
224000,np_default_58
224916,np_default_58
226259,np_default_58
227240,np_default_58
229003,np_default_58
229489,p_default_140
230690,np_default_58
231046,np_default_58
231246,np_default_58
231394,p_default_140
232423,p_default_140
232603,np_default_58
232890,np_default_58
232896,p_default_140
233264,p_default_140
234055,p_default_140
234647,np_default_58
234673,np_default_58
236774,p_default_140
237048,np_default_58
237284,np_default_58
240519,p_default_140
240949,np_default_58
242551,np_default_58
247081,p_default_140
253905,p_default_140
255340,p_default_140
255617,np_default_58
256559,np_default_58
258538,np_default_58
259301,p_default_140
260004,p_default_140
262148,p_default_140
262837,np_default_58
264098,np_default_58
265423,np_default_58
268577,np_default_58
272390,p_default_140
274015,p_default_140
278492,p_default_140
279393,np_default_58
282848,p_default_140
286054,np_default_58
287734,np_default_58
288173,p_default_140
290989,p_default_140
291647,np_default_58
295163,np_default_58
295318,p_default_140
296603,np_default_58
297432,np_default_58
297684,np_default_58
304216,np_default_58
304398,np_default_58
304920,p_default_140
306660,np_default_58
306793,p_default_140
307509,p_default_140
308995,p_default_140
309046,np_default_58
309535,np_default_58
311591,p_default_140
312836,np_default_58
314448,p_default_140
315761,p_default_140
319043,p_default_140
319724,p_default_140
320490,p_default_140
320492,np_default_58
325122,np_default_58
325160,p_default_140
326648,np_default_58
327066,np_default_58
328333,p_default_140
333457,p_default_140
335799,p_default_140
338470,np_default_58
340006,p_default_140
340596,p_default_140
340722,np_default_58
342241,p_default_140
343795,np_default_58
346585,p_default_140
348810,np_default_58
350320,np_default_58
350518,np_default_58
350839,p_default_140
350970,np_default_58
351480,p_default_140
351816,p_default_140
352973,p_default_140
353907,p_default_140
354386,np_default_58
355716,np_default_58
357297,p_default_140
357342,p_default_140
360742,p_default_140
362054,np_default_58
362358,p_default_140
366223,np_default_58
367660,p_default_140
370907,p_default_140
376851,p_default_140
378395,np_default_58
379451,p_default_140
381814,np_default_58
382934,np_default_58
387779,np_default_58
387868,np_default_58
389134,p_default_140
390149,np_default_58
396494,np_default_58
398731,np_default_58
399188,np_default_58
401333,np_default_58
402778,p_default_140
403772,np_default_58
405197,np_default_58
412124,np_default_58
412596,p_default_140
413410,np_default_58
414115,p_default_140
414391,np_default_58
416574,np_default_58
417277,np_default_58
418480,np_default_58
420051,np_default_58
424433,p_default_140
428667,np_default_58
428926,np_default_58
429066,p_default_140
429605,np_default_58
430293,np_default_58
437900,p_default_140
445606,p_default_140
446853,np_default_58
449054,p_default_140
450449,p_default_140
453705,np_default_58
454373,np_default_58
456945,np_default_58
457221,np_default_58
457611,p_default_140
457782,p_default_140
458400,np_default_58
459691,np_default_58
462078,np_default_58
463690,p_default_140
463707,p_default_140
465322,p_default_140
465912,p_default_140
469177,p_default_140
470278,np_default_58
475399,np_default_58
477531,p_default_140
477763,np_default_58
478307,p_default_140
481672,p_default_140
482534,np_default_58
484424,p_default_140
484581,np_default_58
485380,p_default_140
485927,p_default_140
488303,p_default_140
488638,np_default_58
490579,p_default_140
493280,np_default_58
494198,np_default_58
499731,np_default_58
502400,np_default_58
504460,np_default_58
506018,np_default_58
506804,np_default_58
508956,np_default_58
509373,np_default_58
509397,p_default_140
511861,p_default_140
512489,np_default_58
512970,p_default_140
514004,p_default_140
514098,p_default_140
514303,p_default_140
514494,p_default_140
518534,p_default_140
519560,np_default_58
524396,np_default_58
527302,np_default_58
527407,p_default_140
529412,np_default_58
533094,np_default_58
533498,np_default_58
533664,np_default_58
534753,p_default_140
537163,p_default_140
537300,p_default_140
539784,np_default_58
541173,np_default_58
544593,np_default_58
546283,np_default_58
547657,np_default_58
547716,p_default_140
552207,np_default_58
553507,np_default_58
557842,np_default_58
563156,np_default_58
563772,np_default_58
564431,p_default_140
566626,p_default_140
569549,p_default_140
571809,p_default_140
572231,p_default_140
573184,p_default_140
574450,p_default_140
575474,np_default_58
575673,np_default_58
576111,p_default_140
577331,np_default_58
579139,p_default_140
579478,np_default_58
581667,p_default_140
584948,np_default_58
585543,np_default_58
588076,np_default_58
588622,p_default_140
589371,p_default_140
589498,np_default_58
592038,p_default_140
597378,np_default_58
597782,np_default_58
598736,np_default_58
603565,p_default_140
604038,np_default_58
604438,p_default_140
605011,p_default_140
605241,np_default_58
605986,p_default_140
608962,p_default_140
609128,p_default_140
610405,p_default_140
612673,p_default_140
612772,p_default_140
614171,np_default_58
614335,np_default_58
614800,p_default_140
615856,np_default_58
616208,np_default_58
618844,np_default_58
621769,p_default_140
623177,p_default_140
624538,p_default_140
625746,p_default_140
628216,p_default_140
629054,np_default_58
629617,p_default_140
630269,np_default_58
632439,p_default_140
633489,np_default_58
634445,np_default_58
636235,np_default_58
636529,p_default_140
636910,p_default_140
638857,np_default_58
639740,np_default_58
640369,p_default_140
643368,np_default_58
645519,np_default_58
647634,p_default_140
648241,p_default_140
652816,np_default_58
653811,np_default_58
659921,p_default_140
660829,p_default_140
663050,p_default_140
663395,np_default_58
664017,np_default_58
664080,np_default_58
664312,p_default_140
667419,np_default_58
667711,p_default_140
671065,p_default_140
671513,np_default_58
673044,p_default_140
673520,np_default_58
673656,np_default_58
676849,p_default_140
681138,p_default_140
683687,p_default_140
686310,p_default_140
692685,p_default_140
693097,np_default_58
693569,np_default_58
693894,p_default_140
695996,p_default_140
698939,p_default_140
699892,np_default_58
705086,p_default_140
706764,np_default_58
706795,p_default_140
707537,np_default_58
708154,p_default_140
710261,p_default_140
713707,np_default_58
715633,np_default_58
716215,p_default_140
718946,p_default_140
722147,p_default_140
722744,np_default_58
729184,p_default_140
729504,np_default_58
731685,p_default_140
734036,p_default_140
734109,np_default_58
735101,p_default_140
735163,np_default_58
737848,np_default_58
742793,p_default_140
744899,p_default_140
745889,p_default_140
746277,p_default_140
746882,p_default_140
748988,p_default_140
749471,p_default_140
750161,np_default_58
751357,np_default_58
752868,np_default_58
752936,p_default_140
754322,p_default_140
754541,p_default_140
756472,np_default_58
756672,np_default_58
757576,np_default_58
758145,np_default_58
759435,p_default_140
759809,np_default_58
761521,np_default_58
764411,np_default_58
765392,p_default_140
766535,np_default_58
766755,p_default_140
767093,np_default_58
767240,np_default_58
768534,p_default_140
769542,np_default_58
774007,np_default_58
778847,p_default_140
782100,np_default_58
782241,p_default_140
783989,p_default_140
787762,np_default_58
787779,p_default_140
788878,np_default_58
795089,np_default_58
797038,np_default_58
797518,p_default_140
798065,np_default_58
798110,p_default_140
798364,np_default_58
800172,np_default_58
802608,np_default_58
803622,np_default_58
804294,np_default_58
805560,p_default_140
806404,p_default_140
813044,np_default_58
813261,np_default_58
820993,p_default_140
821934,np_default_58
823283,p_default_140
823548,np_default_58
823895,p_default_140
827101,p_default_140
827114,p_default_140
828398,np_default_58
828762,np_default_58
831373,np_default_58
835810,np_default_58
836497,p_default_140
837582,np_default_58
838946,np_default_58
841049,np_default_58
841718,np_default_58
842453,np_default_58
843308,np_default_58
843426,np_default_58
850400,p_default_140
850877,np_default_58
851113,np_default_58
855062,p_default_140
855934,p_default_140
856048,p_default_140
859216,np_default_58
859250,np_default_58
860083,p_default_140
862553,np_default_58
865002,np_default_58
865135,np_default_58
867249,p_default_140
869262,p_default_140
870746,p_default_140
871376,p_default_140
871527,p_default_140
873261,p_default_140
873915,np_default_58
874097,p_default_140
876359,p_default_140
877975,np_default_58
881546,p_default_140
884468,p_default_140
884512,np_default_58
884676,p_default_140
886282,np_default_58
887348,np_default_58
887787,p_default_140
887984,np_default_58
888354,np_default_58
890162,p_default_140
890217,p_default_140
891793,np_default_58
894281,p_default_140
894569,p_default_140
895087,p_default_140
897129,np_default_58
897866,np_default_58
897948,np_default_58
899336,np_default_58
899849,np_default_58
900637,np_default_58
901414,np_default_58
901700,p_default_140
904774,np_default_58
905518,p_default_140
906538,np_default_58
909081,np_default_58
910611,np_default_58
910820,p_default_140
912452,p_default_140
912625,p_default_140
913427,p_default_140
916497,p_default_140
916553,p_default_140
918079,p_default_140
923341,np_default_58
923758,p_default_140
924407,p_default_140
925467,np_default_58
925601,np_default_58
926065,np_default_58
926661,p_default_140
930130,np_default_58
932803,p_default_140
933068,p_default_140
934154,p_default_140
934327,p_default_140
936282,p_default_140
937671,np_default_58
938088,np_default_58
938679,p_default_140
939995,np_default_58
940583,p_default_140
941738,p_default_140
942037,p_default_140
943726,p_default_140
946125,np_default_58
947942,p_default_140
948608,np_default_58
948662,np_default_58
948769,p_default_140
950939,np_default_58
951595,p_default_140
951993,np_default_58
952735,np_default_58
953302,p_default_140
955458,p_default_140
956939,p_default_140
958282,p_default_140
959634,p_default_140
961270,np_default_58
961615,np_default_58
962799,p_default_140
967092,np_default_58
967135,p_default_140
971418,np_default_58
972541,p_default_140
974028,p_default_140
974198,np_default_58
974296,p_default_140
975413,np_default_58
975681,np_default_58
976560,p_default_140
978948,p_default_140
979099,np_default_58
980127,p_default_140
982212,p_default_140
984792,p_default_140
985037,p_default_140
986340,p_default_140
986436,p_default_140
988097,p_default_140
988998,np_default_58
989611,np_default_58
990028,np_default_58
992023,np_default_58
992246,p_default_140
993704,p_default_140
995557,p_default_140
996584,p_default_140
997920,np_default_58
997937,np_default_58
1001068,p_default_140
1002506,p_default_140
1002748,np_default_58
1003027,np_default_58
1003128,np_default_58
1003618,np_default_58
1005511,np_default_58
1007748,p_default_140
1009795,p_default_140
1010586,p_default_140
1012546,p_default_140
1014062,np_default_58
1015880,p_default_140
1016140,p_default_140
1017310,p_default_140
1017411,np_default_58
1017602,np_default_58
1018010,p_default_140
1018111,np_default_58
1018255,p_default_140
1018991,p_default_140
1020025,np_default_58
1020317,np_default_58
1021476,p_default_140
1023732,np_default_58
1024123,p_default_140
1025107,np_default_58
1030533,p_default_140
1034276,p_default_140
1034776,np_default_58
1040076,np_default_58
1040633,p_default_140
1044617,p_default_140
1045329,np_default_58
1046158,np_default_58
1046626,p_default_140
1047256,p_default_140
1047904,np_default_58
1051349,np_default_58
1051639,np_default_58
1051668,np_default_58
1052895,np_default_58
1054479,np_default_58
1055327,p_default_140
1055525,p_default_140
1057391,p_default_140
1058529,p_default_140
1059262,np_default_58
1060099,p_default_140
1060551,p_default_140
1061181,p_default_140
1062197,p_default_140
1064477,np_default_58
1064661,np_default_58
1064868,np_default_58
1070320,p_default_140
1072873,np_default_58
1073646,p_default_140
1073924,np_default_58
1073986,p_default_140
1074337,np_default_58
1079204,np_default_58
1080959,p_default_140
1083960,np_default_58
1086831,np_default_58
1088414,p_default_140
1088641,p_default_140
1091343,np_default_58
1097417,np_default_58
1099446,p_default_140
1100689,p_default_140
1103352,np_default_58
1104297,np_default_58
1105987,np_default_58
