at_ms,qid
623,np_greedy_87
1680,np_greedy_87
5712,p_greedy_330
7278,p_greedy_330
7737,np_greedy_87
9057,np_greedy_87
35869,np_greedy_87
36319,np_greedy_87
45219,np_greedy_87
49896,np_greedy_87
49975,p_greedy_330
58407,p_greedy_330
69912,p_greedy_330
72033,np_greedy_87
74048,np_greedy_87
78812,np_greedy_87
83517,np_greedy_87
86775,np_greedy_87
86794,np_greedy_87
88687,p_greedy_330
93434,np_greedy_87
94341,p_greedy_330
94496,np_greedy_87
95083,p_greedy_330
96777,p_greedy_330
105040,np_greedy_87
105879,np_greedy_87
109565,p_greedy_330
110269,np_greedy_87
114546,p_greedy_330
117159,np_greedy_87
138275,p_greedy_330
144473,np_greedy_87
145601,np_greedy_87
147377,np_greedy_87
153886,p_greedy_330
165459,np_greedy_87
165708,np_greedy_87
193749,np_greedy_87
199458,p_greedy_330
203617,np_greedy_87
207188,np_greedy_87
212259,p_greedy_330
216453,p_greedy_330
228260,np_greedy_87
234592,p_greedy_330
234924,p_greedy_330
243465,p_greedy_330
245223,np_greedy_87
250097,np_greedy_87
267222,p_greedy_330
268827,np_greedy_87
271511,np_greedy_87
275597,p_greedy_330
277309,p_greedy_330
282386,np_greedy_87
285341,p_greedy_330
291060,np_greedy_87
294474,p_greedy_330
299807,p_greedy_330
310256,np_greedy_87
314643,np_greedy_87
320526,np_greedy_87
325742,p_greedy_330
330557,p_greedy_330
334230,p_greedy_330
337514,np_greedy_87
342406,p_greedy_330
345038,p_greedy_330
345842,np_greedy_87
349540,p_greedy_330
355422,p_greedy_330
359217,np_greedy_87
370998,np_greedy_87
383723,np_greedy_87
387680,p_greedy_330
388650,p_greedy_330
391193,p_greedy_330
393771,p_greedy_330
409301,np_greedy_87
417013,np_greedy_87
429802,np_greedy_87
435237,np_greedy_87
435612,np_greedy_87
451865,np_greedy_87
454184,np_greedy_87
455774,p_greedy_330
474060,np_greedy_87
481427,p_greedy_330
483927,p_greedy_330
493559,p_greedy_330
494590,p_greedy_330
499006,p_greedy_330
502431,np_greedy_87
503840,p_greedy_330
512776,p_greedy_330
514862,np_greedy_87
517022,np_greedy_87
521781,np_greedy_87
527529,np_greedy_87
528411,np_greedy_87
535479,np_greedy_87
543476,p_greedy_330
545341,np_greedy_87
550086,np_greedy_87
552513,np_greedy_87
553582,np_greedy_87
562653,p_greedy_330
565046,np_greedy_87
565196,np_greedy_87
570220,np_greedy_87
571503,p_greedy_330
573234,np_greedy_87
582029,np_greedy_87
589366,p_greedy_330
596927,np_greedy_87
597029,p_greedy_330
612219,p_greedy_330
624711,np_greedy_87
629599,p_greedy_330
633038,p_greedy_330
636506,np_greedy_87
653753,p_greedy_330
663745,p_greedy_330
671457,p_greedy_330
677294,p_greedy_330
680234,p_greedy_330
688292,p_greedy_330
689853,p_greedy_330
692138,np_greedy_87
701521,p_greedy_330
727993,p_greedy_330
730663,np_greedy_87
742180,np_greedy_87
745258,np_greedy_87
746100,p_greedy_330
752918,np_greedy_87
755183,np_greedy_87
756982,p_greedy_330
764883,p_greedy_330
778668,p_greedy_330
780179,p_greedy_330
780803,p_greedy_330
803714,p_greedy_330
808917,p_greedy_330
811050,np_greedy_87
817859,np_greedy_87
821722,p_greedy_330
828047,p_greedy_330
833193,p_greedy_330
833994,np_greedy_87
834517,np_greedy_87
836193,np_greedy_87
838679,np_greedy_87
842110,np_greedy_87
847137,np_greedy_87
850231,p_greedy_330
850813,np_greedy_87
855097,p_greedy_330
857411,np_greedy_87
863728,np_greedy_87
865060,np_greedy_87
865809,np_greedy_87
870889,np_greedy_87
871328,p_greedy_330
871966,np_greedy_87
878543,np_greedy_87
878642,np_greedy_87
887532,np_greedy_87
888416,np_greedy_87
891222,p_greedy_330
893531,p_greedy_330
902140,np_greedy_87
908139,np_greedy_87
937343,p_greedy_330
938089,p_greedy_330
944294,p_greedy_330
952334,p_greedy_330
957058,np_greedy_87
960585,np_greedy_87
967994,np_greedy_87
972816,p_greedy_330
975042,p_greedy_330
984090,np_greedy_87
984527,p_greedy_330
988813,np_greedy_87
989851,p_greedy_330
993773,np_greedy_87
1005580,np_greedy_87
1019354,p_greedy_330
1020865,p_greedy_330
1024438,p_greedy_330
1044289,p_greedy_330
1046077,np_greedy_87
1048794,p_greedy_330
1071017,np_greedy_87
1077308,np_greedy_87
1082228,p_greedy_330
1082841,p_greedy_330
1088537,p_greedy_330
1089854,p_greedy_330
1091959,np_greedy_87
1099725,p_greedy_330
1105123,np_greedy_87
1110514,np_greedy_87
1113616,np_greedy_87
1114561,np_greedy_87
1137953,p_greedy_330
1139016,np_greedy_87
1139698,np_greedy_87
1142500,p_greedy_330
1148169,np_greedy_87
1154556,p_greedy_330
1157101,np_greedy_87
1158137,p_greedy_330
1158931,np_greedy_87
1164837,p_greedy_330
1171290,np_greedy_87
1174654,p_greedy_330
1177962,p_greedy_330
1191546,p_greedy_330
1199598,p_greedy_330
1199957,np_greedy_87
