at_ms,qid
134,q0003
363,q0003
374,q0004
1203,q0004
1392,q0004
1646,q0004
1670,q0003
1955,q0003
2380,q0004
2739,q0004
3316,q0004
3825,q0004
4374,q0004
5478,q0004
5811,q0004
6363,q0004
6598,q0004
6614,q0004
7316,q0004
7416,q0004
7741,q0003
7839,q0003
8274,q0004
9498,q0004
9759,q0003
10035,q0004
10128,q0004
10334,q0004
10582,q0004
10620,q0004
10769,q0003
10925,q0004
11351,q0004
11555,q0004
11660,q0004
11706,q0004
12201,q0004
12208,q0004
12424,q0004
12555,q0004
12934,q0004
13577,q0004
14777,q0004
15286,q0004
15547,q0003
15982,q0003
17010,q0003
17687,q0004
18025,q0003
18728,q0003
18733,q0003
19350,q0004
19847,q0004
19980,q0004
20166,q0003
20311,q0004
20395,q0003
20408,q0004
22671,q0003
22820,q0004
22852,q0003
23114,q0004
23799,q0003
23810,q0004
23833,q0004
23905,q0004
24013,q0004
24161,q0004
24378,q0004
24536,q0004
24821,q0004
25094,q0004
25151,q0004
25184,q0004
25286,q0003
25403,q0004
25450,q0004
25733,q0004
25738,q0004
26121,q0004
26160,q0004
26752,q0004
27011,q0004
29123,q0004
29275,q0004
29595,q0004
30289,q0004
30493,q0004
30707,q0004
31181,q0003
31217,q0004
31425,q0003
31808,q0003
32965,q0004
34042,q0004
34313,q0004
34946,q0004
35514,q0004
35711,q0003
35747,q0004
35764,q0003
35880,q0004
35921,q0004
36977,q0004
37006,q0004
37372,q0004
37758,q0004
37836,q0004
38370,q0004
39607,q0004
40356,q0004
40602,q0004
40670,q0004
41816,q0003
42513,q0004
42877,q0004
43373,q0004
43946,q0003
44184,q0004
44428,q0004
44460,q0004
44533,q0004
44717,q0003
45085,q0004
45300,q0004
46324,q0004
46998,q0004
48965,q0004
49265,q0003
49518,q0004
49699,q0004
50482,q0004
50496,q0004
50865,q0004
51890,q0004
52252,q0004
52326,q0004
52673,q0004
52926,q0003
53067,q0004
53297,q0004
53978,q0003
54417,q0004
54624,q0004
54783,q0004
55136,q0004
55249,q0004
55444,q0004
55698,q0004
57090,q0004
57132,q0004
57242,q0004
57353,q0004
58020,q0003
58600,q0003
