at_ms,qid
1008,np_default_300
2719,np_default_300
12525,np_default_300
14661,np_default_300
58061,np_default_300
58790,np_default_300
63895,p_default_1200
73196,np_default_300
80766,np_default_300
87019,p_default_1200
116600,np_default_300
119862,np_default_300
127574,np_default_300
135189,np_default_300
140463,np_default_300
140494,np_default_300
151241,np_default_300
152961,np_default_300
170029,np_default_300
171387,np_default_300
178494,np_default_300
189646,np_default_300
223456,p_default_1200
233860,np_default_300
235685,np_default_300
238561,np_default_300
267829,np_default_300
268232,np_default_300
