at_ms,qid
1513,np_greedy_300
4078,np_greedy_300
10952,p_greedy_2400
18787,np_greedy_300
21992,np_greedy_300
28205,p_greedy_2400
87091,np_greedy_300
88185,np_greedy_300
109794,np_greedy_300
121150,np_greedy_300
174900,np_greedy_300
179793,np_greedy_300
191361,np_greedy_300
202784,np_greedy_300
203816,p_greedy_2400
206231,p_greedy_2400
210694,np_greedy_300
210741,np_greedy_300
226862,np_greedy_300
229441,np_greedy_300
255043,np_greedy_300
257081,np_greedy_300
267740,np_greedy_300
284469,np_greedy_300
